,ID,Title,Year,Rating,Votes,Length,Genres
0,TT0111161,The Shawshank Redemption (1994),1994,9.2,619479,142 mins.,Crime|Drama
1,TT0110912,Pulp Fiction (1994),1994,9.0,490065,154 mins.,Crime|Thriller
2,TT0137523,Fight Club (1999),1999,8.8,458173,139 mins.,Drama|Mystery|Thriller
3,TT0133093,The Matrix (1999),1999,8.7,448114,136 mins.,Action|Adventure|Sci-Fi
4,TT1375666,Inception (2010),2010,8.9,385149,148 mins.,Action|Adventure|Sci-Fi|Thriller
5,TT0109830,Forrest Gump (1994),1994,8.7,368994,142 mins.,Comedy|Drama|Romance
6,TT0169547,American Beauty (1999),1999,8.6,338332,122 mins.,Drama
7,TT0499549,Avatar (2009),2009,8.1,336855,162 mins.,Action|Adventure|Fantasy|Sci-Fi
8,TT0108052,Schindler's List (1993),1993,8.9,325888,195 mins.,Biography|Drama|History|War
9,TT0080684,Star Wars: Episode V - The Empire Strikes Back (1980),1980,8.8,320105,124 mins.,Action|Adventure|Family|Sci-Fi
10,TT0372784,Batman Begins (2005),2005,8.3,316613,140 mins.,Action|Crime|Drama|Thriller
11,TT0114814,The Usual Suspects (1995),1995,8.7,306624,106 mins.,Crime|Mystery|Thriller
12,TT0102926,The Silence of the Lambs (1991),1991,8.7,293081,118 mins.,Crime|Thriller
13,TT0120338,Titanic (1997),1997,7.4,284245,194 mins.,Adventure|Drama|History|Romance
14,TT0112573,Braveheart (1995),1995,8.4,281446,177 mins.,Action|Biography|Drama|History|War
15,TT0167404,The Sixth Sense (1999),1999,8.2,278210,107 mins.,Drama|Mystery|Thriller
16,TT0266697,Kill Bill: Vol. 1 (2003),2003,8.2,272983,111 mins.,Action|Crime|Thriller
17,TT0099685,Goodfellas (1990),1990,8.8,270728,146 mins.,Biography|Crime|Drama|Thriller
18,TT0416449,300 (2006),2006,7.8,269328,117 mins.,Action|Fantasy|History|War
19,TT0482571,The Prestige (2006),2006,8.4,258396,130 mins.,Drama|Mystery|Thriller
20,TT0105236,Reservoir Dogs (1992),1992,8.4,247390,99 mins.,Crime|Mystery|Thriller
21,TT0110413,Leon: The Professional (1994),1994,8.6,244568,110 mins.,Crime|Drama|Thriller
22,TT0120689,The Green Mile (1999),1999,8.4,243660,189 mins.,Crime|Drama|Fantasy|Mystery
23,TT0361748,Inglourious Basterds (2009),2009,8.4,240995,153 mins.,Adventure|Drama|War
24,TT0910970,WALL\xb7E (2008),2008,8.5,229364,98 mins.,Animation|Adventure|Family|Romance|Sci-Fi
25,TT0468569,The Dark Knight (2008),2008,8.9,555122,152 mins.,Action|Crime|Drama|Thriller
26,TT0068646,The Godfather (1972),1972,9.2,474189,175 mins.,Crime|Drama
27,TT0120737,The Lord of the Rings: The Fellowship of the Ring (2001),2001,8.8,451263,178 mins.,Action|Adventure|Drama|Fantasy
28,TT0167260,The Lord of the Rings: The Return of the King (2003),2003,8.8,428791,201 mins.,Action|Adventure|Drama|Fantasy
29,TT0167261,The Lord of the Rings: The Two Towers (2002),2002,8.7,383113,179 mins.,Action|Adventure|Drama|Fantasy
30,TT0076759,Star Wars: Episode IV - A New Hope (1977),1977,8.8,364211,121 mins.,Action|Adventure|Family|Fantasy|Sci-Fi
31,TT0114369,Se7en (1995),1995,8.7,337198,127 mins.,Crime|Drama|Mystery|Thriller
32,TT0172495,Gladiator (2000),2000,8.4,334107,155 mins.,Action|Adventure|Drama
33,TT0209144,Memento (2000),2000,8.7,325663,113 mins.,Crime|Drama|Mystery|Thriller
34,TT0120815,Saving Private Ryan (1998),1998,8.5,317912,169 mins.,Action|Drama|History|War
35,TT0407887,The Departed (2006),2006,8.5,315448,151 mins.,Crime|Mystery|Thriller
36,TT0401792,Sin City (2005),2005,8.3,295014,124 mins.,Action|Crime|Drama|Thriller
37,TT0071562,The Godfather: Part II (1974),1974,9.0,291169,200 mins.,Crime|Drama
38,TT0325980,Pirates of the Caribbean: The Curse of the Black Pearl (2003),2003,8.0,282758,143 mins.,Action|Adventure|Fantasy
39,TT0103064,Terminator 2: Judgment Day (1991),1991,8.6,280590,137 mins.,Action|Sci-Fi|Thriller
40,TT0082971,Raiders of the Lost Ark (1981),1981,8.7,277941,115 mins.,Action|Adventure
41,TT0434409,V for VendeTTa (2006),2006,8.2,272272,132 mins.,Action|Sci-Fi|Thriller
42,TT0120586,American History X (1998),1998,8.6,270082,119 mins.,Crime|Drama
43,TT0338013,Eternal Sunshine of the Spotless Mind (2004),2004,8.5,260298,108 mins.,Drama|Romance|Sci-Fi
44,TT0073486,One Flew Over the Cuckoo's Nest (1975),1975,8.9,255503,133 mins.,Drama
45,TT0246578,Donnie Darko (2001),2001,8.2,246756,113 mins.,Drama|Mystery|Sci-Fi
46,TT0088763,Back to the Future (1985),1985,8.4,244444,116 mins.,Adventure|Family|Sci-Fi
47,TT0086190,Star Wars: Episode VI - Return of the Jedi (1983),1983,8.3,242129,134 mins.,Action|Adventure|Family|Fantasy|Sci-Fi
48,TT0477348,No Country for Old Men (2007),2007,8.2,237275,122 mins.,Crime|Drama|Thriller
49,TT0418279,Transformers (2007),2007,7.2,229119,144 mins.,Action|Sci-Fi|Thriller
50,TT0066921,A Clockwork Orange (1971),1971,8.5,225495,136 mins.,Crime|Drama|Sci-Fi
51,TT1010048,Slumdog Millionaire (2008),2008,8.2,220634,120 mins.,Crime|Drama|Romance|Thriller
52,TT0211915,Am\xe9lie (2001),2001,8.5,215732,122 mins.,Comedy|Fantasy|Romance
53,TT0095016,Die Hard (1988),1988,8.3,214352,131 mins.,Action|Thriller
54,TT0088247,The Terminator (1984),1984,8.1,211834,107 mins.,Action|Sci-Fi
55,TT0083658,Blade Runner (1982),1982,8.3,210220,117 mins.,Drama|Sci-Fi|Thriller
56,TT0208092,Snatch. (2000),2000,8.3,208975,104 mins.,Crime|Thriller
57,TT0266543,Finding Nemo (2003),2003,8.2,203841,100 mins.,Animation|Adventure|Comedy|Family
58,TT0317248,City of God (2002),2002,8.8,199917,130 mins.,Crime|Drama
59,TT1136608,District 9 (2009),2009,8.2,198635,112 mins.,Action|Drama|Sci-Fi|Thriller
60,TT0114746,Twelve Monkeys (1995),1995,8.1,196696,129 mins.,Mystery|Sci-Fi|Thriller
61,TT0381061,Casino Royale (2006),2006,8.0,194834,144 mins.,Action|Crime|Thriller
62,TT0090605,Aliens (1986),1986,8.5,194734,137 mins.,Action|Adventure|Sci-Fi|Thriller
63,TT0317705,The Incredibles (2004),2004,8.1,191778,115 mins.,Animation|Action|Adventure|Family|Fantasy
64,TT0114709,Toy Story (1995),1995,8.2,188939,80 mins.,Animation|Adventure|Comedy|Family|Fantasy
65,TT0119488,L.A. Confidential (1997),1997,8.4,187115,138 mins.,Crime|Drama|Mystery|Thriller
66,TT0457430,Pan's Labyrinth (2006),2006,8.4,186080,00 mins.,Drama|Fantasy|Mystery
67,TT0126029,Shrek (2001),2001,7.9,185372,90 mins.,Animation|Adventure|Comedy|Family|Fantasy
68,TT1119646,The Hangover (2009),2009,7.9,182689,100 mins.,Comedy|Crime
69,TT0480249,I Am Legend (2007),2007,7.1,181922,101 mins.,Drama|Sci-Fi|Thriller
70,TT0093058,Full Metal Jacket (1987),1987,8.4,179718,116 mins.,Drama|War
71,TT0440963,The Bourne Ultimatum (2007),2007,8.2,178311,115 mins.,Action|Crime|Thriller
72,TT0107290,Jurassic Park (1993),1993,7.9,176437,127 mins.,Adventure|Family|Sci-Fi
73,TT0071853,Monty Python and the Holy Grail (1975),1975,8.4,175723,91 mins.,Adventure|Comedy
74,TT0110357,The Lion King (1994),1994,8.3,173970,89 mins.,Animation|Adventure|Comedy|Drama|Family|Musical
75,TT0180093,Requiem for a Dream (2000),2000,8.5,220783,102 mins.,Drama
76,TT0378194,Kill Bill: Vol. 2 (2004),2004,8.0,216272,136 mins.,Crime|Drama|Thriller
77,TT0120915,Star Wars: Episode I - The Phantom Menace (1999),1999,6.4,215280,136 mins.,Action|Adventure|Sci-Fi
78,TT0081505,The Shining (1980),1980,8.5,212988,00 mins.,Drama|Horror|Mystery
79,TT0118715,The Big Lebowski (1998),1998,8.2,210701,117 mins.,Comedy|Crime
80,TT0078748,Alien (1979),1979,8.5,209880,117 mins.,Horror|Sci-Fi
81,TT0371746,Iron Man (2008),2008,7.9,205891,126 mins.,Action|Adventure|Sci-Fi
82,TT0121766,Star Wars: Episode III - Revenge of the Sith (2005),2005,7.8,202734,140 mins.,Action|Adventure|Fantasy|Sci-Fi
83,TT0078788,Apocalypse Now (1979),1979,8.6,198861,153 mins.,Drama|War
84,TT0097576,Indiana Jones and the Last Crusade (1989),1989,8.3,197347,127 mins.,Action|Adventure
85,TT0060196,"The Good, the Bad and the Ugly (1966)",1966,9.0,195238,161 mins.,Western
86,TT0375679,Crash (2004),2004,8.0,194749,112 mins.,Drama
87,TT0120382,The Truman Show (1998),1998,8.0,193505,103 mins.,Comedy|Drama|Sci-Fi
88,TT0145487,Spider-Man (2002),2002,7.4,191150,121 mins.,Action|Adventure|Fantasy
89,TT0116282,Fargo (1996),1996,8.3,187498,98 mins.,Crime|Drama|Thriller
90,TT0075314,Taxi Driver (1976),1976,8.6,186983,113 mins.,Drama|Thriller
91,TT0206634,Children of Men (2006),2006,8.0,185689,109 mins.,Adventure|Drama|Sci-Fi|Thriller
92,TT0062622,2001: A Space Odyssey (1968),1968,8.4,183207,141 mins.,Adventure|Mystery|Sci-Fi
93,TT0086250,Scarface (1983),1983,8.2,182189,170 mins.,Crime|Drama|Thriller
94,TT0119217,Good Will Hunting (1997),1997,8.1,180850,126 mins.,Drama
95,TT0383574,Pirates of the Caribbean: Dead Man's Chest (2006),2006,7.3,178312,151 mins.,Action|Adventure|Fantasy
96,TT0121765,Star Wars: Episode II - ATTack of the Clones (2002),2002,6.8,178266,142 mins.,Action|Adventure|Fantasy|Sci-Fi
97,TT0117951,TrainspoTTing (1996),1996,8.2,175993,94 mins.,Crime|Drama
98,TT0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),1964,8.6,174723,95 mins.,Comedy|Drama
99,TT0467406,Juno (2007),2007,7.8,172477,96 mins.,Comedy|Drama|Romance
100,TT1130884,ShuTTer Island (2010),2010,8.0,171493,138 mins.,Drama|Mystery|Thriller
101,TT0116629,Independence Day (1996),1996,6.6,171067,145 mins.,Action|Adventure|Sci-Fi|Thriller
102,TT0113277,Heat (1995),1995,8.3,169584,170 mins.,Crime|Drama|Thriller
103,TT1205489,Gran Torino (2008),2008,8.3,168721,116 mins.,Drama
104,TT0796366,Star Trek (2009),2009,8.1,167917,127 mins.,Action|Adventure|Sci-Fi
105,TT0421715,The Curious Case of Benjamin BuTTon (2008),2008,8.0,165459,166 mins.,Drama|Fantasy|Mystery|Romance
106,TT0382932,Ratatouille (2007),2007,8.1,163982,111 mins.,Animation|Comedy|Family|Fantasy
107,TT0253474,The Pianist (2002),2002,8.5,162990,150 mins.,Biography|Drama|War
108,TT0073195,Jaws (1975),1975,8.3,161557,124 mins.,Thriller
109,TT0413300,Spider-Man 3 (2007),2007,6.4,160495,139 mins.,Action|Drama|Fantasy|Thriller
110,TT0241527,Harry PoTTer and the Sorcerer's Stone (2001),2001,7.2,159229,152 mins.,Adventure|Family|Fantasy|Mystery
111,TT0409459,Watchmen (2009),2009,7.7,158180,162 mins.,Action|Drama|Mystery|Sci-Fi|Thriller
112,TT0829482,Superbad (2007),2007,7.7,156450,113 mins.,Comedy
113,TT1060277,Cloverfield (2008),2008,7.3,154591,85 mins.,Horror|Mystery|Sci-Fi
114,TT0268978,A Beautiful Mind (2001),2001,8.0,154017,135 mins.,Biography|Drama
115,TT0367882,Indiana Jones and the Kingdom of the Crystal Skull (2008),2008,6.5,151439,122 mins.,Action|Adventure
116,TT0120735,"Lock, Stock and Two Smoking Barrels (1998)",1998,8.2,150986,107 mins.,Crime|Thriller
117,TT0947798,Black Swan (2010),2010,8.3,150346,108 mins.,Drama|Mystery|Thriller
118,TT0425112,Hot Fuzz (2007),2007,7.9,148908,121 mins.,Action|Comedy|Mystery
119,TT0335266,Lost in Translation (2003),2003,7.9,147603,104 mins.,Drama
120,TT0337978,Live Free or Die Hard (2007),2007,7.5,146690,128 mins.,Action|Crime|Thriller
121,TT0258463,The Bourne Identity (2002),2002,7.8,145709,119 mins.,Action|Crime|Mystery|Thriller
122,TT0435761,Toy Story 3 (2010),2010,8.6,144200,103 mins.,Animation|Adventure|Comedy|Family|Fantasy
123,TT0242653,The Matrix Revolutions (2003),2003,6.5,142679,129 mins.,Action|Adventure|Sci-Fi
124,TT0327056,Mystic River (2003),2003,8.0,141923,138 mins.,Crime|Drama|Mystery|Thriller
125,TT0405159,Million Dollar Baby (2004),2004,8.2,171194,132 mins.,Drama|Sport
126,TT0234215,The Matrix Reloaded (2003),2003,7.1,170481,138 mins.,Action|Adventure|Sci-Fi
127,TT0449059,LiTTle Miss Sunshine (2006),2006,8.0,168936,101 mins.,Adventure|Comedy|Drama
128,TT0054215,Psycho (1960),1960,8.7,168286,109 mins.,Horror|Mystery|Thriller
129,TT0319061,Big Fish (2003),2003,8.0,166081,125 mins.,Adventure|Drama|Fantasy
130,TT0264464,Catch Me If You Can (2002),2002,7.8,165029,141 mins.,Biography|Comedy|Crime|Drama
131,TT0316654,Spider-Man 2 (2004),2004,7.6,163218,127 mins.,Action|Crime|Fantasy|Thriller
132,TT0107048,Groundhog Day (1993),1993,8.2,162409,101 mins.,Comedy|Drama|Fantasy|Romance
133,TT0240772,Ocean's Eleven (2001),2001,7.6,161395,116 mins.,Crime|Thriller
134,TT0449088,Pirates of the Caribbean: At World's End (2007),2007,7.0,160070,169 mins.,Action|Adventure|Fantasy
135,TT1049413,Up (2009),2009,8.3,159023,96 mins.,Animation|Adventure|Comedy|Drama|Family|Fantasy
136,TT0365748,Shaun of the Dead (2004),2004,8.0,156939,99 mins.,Comedy|Horror
137,TT0181689,Minority Report (2002),2002,7.7,154873,145 mins.,Action|Crime|Mystery|Sci-Fi|Thriller
138,TT0469494,There Will Be Blood (2007),2007,8.2,154558,158 mins.,Drama
139,TT0332452,Troy (2004),2004,7.0,153165,163 mins.,Action|Drama|History|Romance
140,TT0119116,The Fifth Element (1997),1997,7.5,151108,126 mins.,Action|Sci-Fi|Thriller
141,TT0407304,War of the Worlds (2005),2005,6.5,150734,116 mins.,Action|Adventure|Drama|Sci-Fi|Thriller
142,TT0360717,King Kong (2005),2005,7.5,149542,187 mins.,Action|Adventure|Drama|Romance|Thriller
143,TT0050083,12 Angry Men (1957),1957,8.9,148155,96 mins.,Drama|Mystery
144,TT0198781,"Monsters, Inc. (2001)",2001,8.0,147321,92 mins.,Animation|Adventure|Comedy|Family|Fantasy
145,TT1250777,Kick-Ass (2010),2010,8.0,146535,117 mins.,Action|Adventure|Comedy
146,TT1099212,Twilight (2008),2008,5.4,144360,122 mins.,Adventure|Drama|Fantasy|Romance
147,TT0450259,Blood Diamond (2006),2006,8.0,143558,143 mins.,Adventure|Drama|Thriller
148,TT0295297,Harry PoTTer and the Chamber of Secrets (2002),2002,7.1,142348,161 mins.,Adventure|Family|Fantasy|Mystery
149,TT0120903,X-Men (2000),2000,7.4,141858,104 mins.,Action|Adventure|Sci-Fi
150,TT0120363,Toy Story 2 (1999),1999,8.0,141529,92 mins.,Animation|Adventure|Comedy|Family|Fantasy
151,TT0443453,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),2006,7.5,138421,84 mins.,Comedy
152,TT0093779,The Princess Bride (1987),1987,8.1,137798,98 mins.,Adventure|Comedy|Family|Fantasy|Romance
153,TT0120591,Armageddon (1998),1998,6.2,137133,150 mins.,Action|Adventure|Sci-Fi|Thriller
154,TT0175880,Magnolia (1999),1999,8.0,135347,188 mins.,Drama
155,TT0387564,Saw (2004),2004,7.7,133680,103 mins.,Crime|Horror|Mystery|Thriller
156,TT0304141,Harry PoTTer and the Prisoner of Azkaban (2004),2004,7.7,132426,141 mins.,Adventure|Family|Fantasy|Mystery
157,TT0758758,Into the Wild (2007),2007,8.2,131590,148 mins.,Adventure|Biography|Drama
158,TT0462538,The Simpsons Movie (2007),2007,7.5,131168,87 mins.,Animation|Adventure|Comedy
159,TT0765429,American Gangster (2007),2007,7.9,129738,157 mins.,Crime|Drama
160,TT0388795,Brokeback Mountain (2005),2005,7.8,128651,134 mins.,Drama|Romance
161,TT0478311,Knocked Up (2007),2007,7.4,128110,129 mins.,Comedy|Drama|Romance
162,TT0289879,The BuTTerfly Effect (2004),2004,7.8,127062,113 mins.,Drama|Mystery|Sci-Fi|Thriller
163,TT0091763,Platoon (1986),1986,8.2,126792,120 mins.,Action|Drama|War
164,TT0245429,Spirited Away (2001),2001,8.6,125718,125 mins.,Animation|Adventure|Family|Fantasy
165,TT0493464,Wanted (2008),2008,6.8,125384,110 mins.,Action|Crime|Thriller
166,TT0325710,The Last Samurai (2003),2003,7.7,125299,154 mins.,Action|Adventure|Drama|History|War
167,TT0942385,Tropic Thunder (2008),2008,7.1,124682,107 mins.,Action|Adventure|Comedy
168,TT0087469,Indiana Jones and the Temple of Doom (1984),1984,7.5,124298,118 mins.,Action|Adventure
169,TT0162222,Cast Away (2000),2000,7.5,123598,143 mins.,Adventure|Drama
170,TT0289043,28 Days Later... (2002),2002,7.6,123276,113 mins.,Horror|Sci-Fi|Thriller
171,TT0780536,In Bruges (2008),2008,8.1,122870,107 mins.,Crime|Drama|Thriller
172,TT1055369,Transformers: Revenge of the Fallen (2009),2009,5.9,122055,150 mins.,Action|Adventure|Sci-Fi|Thriller
173,TT0075148,Rocky (1976),1976,8.1,120811,119 mins.,Drama|Romance|Sport
174,TT0083866,E.T.: The Extra-Terrestrial (1982),1982,7.9,120582,115 mins.,Adventure|Drama|Family|Fantasy|Sci-Fi
175,TT0936501,Taken (2008),2008,7.9,140019,93 mins.,Action|Crime|Thriller
176,TT0119654,Men in Black (1997),1997,7.0,138013,98 mins.,Action|Adventure|Comedy|Sci-Fi
177,TT0047396,Rear Window (1954),1954,8.7,137663,112 mins.,Mystery|Romance|Thriller
178,TT1285016,The Social Network (2010),2010,8.1,136871,120 mins.,Biography|Drama
179,TT0330373,Harry PoTTer and the Goblet of Fire (2005),2005,7.5,135086,157 mins.,Adventure|Family|Fantasy|Mystery
180,TT0382625,The Da Vinci Code (2006),2006,6.4,133074,149 mins.,Mystery|Thriller
181,TT0217505,Gangs of New York (2002),2002,7.4,131955,167 mins.,Crime|Drama|History
182,TT0118799,Life Is Beautiful (1997),1997,8.5,131578,116 mins.,Comedy|Drama|Romance|War
183,TT0290334,X2 (2003),2003,7.7,130640,133 mins.,Action|Adventure|Sci-Fi|Thriller
184,TT0112641,Casino (1995),1995,8.2,129141,178 mins.,Biography|Crime|Drama
185,TT0988045,Sherlock Holmes (2009),2009,7.5,128382,128 mins.,Action|Adventure|Crime|Mystery|Thriller
186,TT0095953,Rain Man (1988),1988,8.0,127586,133 mins.,Drama
187,TT0376994,X-Men: The Last Stand (2006),2006,6.8,126913,104 mins.,Action|Adventure|Sci-Fi|Thriller
188,TT0286106,Signs (2002),2002,6.9,126404,106 mins.,Drama|Mystery|Sci-Fi|Thriller
189,TT0373889,Harry PoTTer and the Order of the Phoenix (2007),2007,7.3,125676,138 mins.,Adventure|Family|Fantasy|Mystery
190,TT0120601,Being John Malkovich (1999),1999,7.9,125332,112 mins.,Comedy|Drama|Fantasy
191,TT0070047,The Exorcist (1973),1973,8.1,124786,122 mins.,Horror|Mystery|Thriller
192,TT0096895,Batman (1989),1989,7.6,124430,126 mins.,Action|Crime|Thriller
193,TT0163651,American Pie (1999),1999,6.9,123900,95 mins.,Comedy|Romance
194,TT0372183,The Bourne Supremacy (2004),2004,7.6,123504,108 mins.,Action|Crime|Thriller
195,TT0408236,Sweeney Todd: The Demon Barber of Fleet Street (2007),2007,7.6,123106,116 mins.,Drama|Horror|Musical|Thriller
196,TT0099487,Edward Scissorhands (1990),1990,8.0,122596,105 mins.,Drama|Fantasy|Romance
197,TT0162661,Sleepy Hollow (1999),1999,7.5,120886,105 mins.,Horror|Mystery|Thriller
198,TT0181852,Terminator 3: Rise of the Machines (2003),2003,6.6,120646,109 mins.,Action|Adventure|Sci-Fi|Thriller
199,TT0117500,The Rock (1996),1996,7.3,120384,136 mins.,Action|Thriller
200,TT0356910,Mr. & Mrs. Smith (2005),2005,6.4,120293,120 mins.,Action|Comedy|Romance
201,TT0190332,"Crouching Tiger, Hidden Dragon (2000)",2000,8.0,119969,120 mins.,Action|Adventure|Drama|Fantasy|Romance
202,TT0448157,Hancock (2008),2008,6.5,119766,92 mins.,Action|Crime|Fantasy|Sci-Fi
203,TT1125849,The Wrestler (2008),2008,8.1,119191,109 mins.,Drama|Romance|Sport
204,TT0379786,Serenity (2005),2005,7.9,118578,119 mins.,Action|Adventure|Sci-Fi|Thriller
205,TT0144084,American Psycho (2000),2000,7.5,117937,102 mins.,Comedy|Crime
206,TT0166924,Mulholland Dr. (2001),2001,8.0,117851,147 mins.,Drama|Mystery|Thriller
207,TT0105695,Unforgiven (1992),1992,8.3,116986,131 mins.,Drama|Western
208,TT0314331,Love Actually (2003),2003,7.8,115695,135 mins.,Comedy|Drama|Romance
209,TT0265086,Black Hawk Down (2001),2001,7.7,115096,144 mins.,Action|Drama|History|War
210,TT0086879,Amadeus (1984),1984,8.4,113010,160 mins.,Biography|Drama|Music
211,TT0213149,Pearl Harbor (2001),2001,5.5,112599,183 mins.,Action|Drama|Romance|War
212,TT0047478,Seven Samurai (1954),1954,8.8,111707,207 mins.,Adventure|Drama
213,TT0438488,Terminator Salvation (2009),2009,6.8,110600,115 mins.,Action|Drama|Sci-Fi|Thriller
214,TT0405422,The 40 Year Old Virgin (2005),2005,7.4,110443,116 mins.,Comedy|Romance
215,TT0298148,Shrek 2 (2004),2004,7.4,109832,93 mins.,Animation|Adventure|Comedy|Family|Fantasy
216,TT0120616,The Mummy (1999),1999,6.9,109396,125 mins.,Action|Adventure|Fantasy
217,TT0887883,Burn After Reading (2008),2008,7.2,109109,96 mins.,Comedy|Crime|Drama
218,TT0315327,Bruce Almighty (2003),2003,6.6,109031,101 mins.,Comedy|Drama|Fantasy
219,TT0120655,Dogma (1999),1999,7.3,108758,130 mins.,Adventure|Comedy|Fantasy
220,TT0319262,The Day After Tomorrow (2004),2004,6.3,108540,124 mins.,Action|Adventure|Drama|Sci-Fi|Thriller
221,TT0106977,The Fugitive (1993),1993,7.8,106898,130 mins.,Action|Adventure|Crime|Drama|Thriller
222,TT0190590,"O Brother, Where Art Thou? (2000)",2000,7.8,106687,106 mins.,Comedy|Adventure|Crime|Music
223,TT0117571,Scream (1996),1996,7.2,106216,103 mins.,Crime|Horror|Mystery|Thriller
224,TT0212720,A.I. Artificial Intelligence (2001),2001,7.0,105570,146 mins.,Adventure|Drama|Sci-Fi
225,TT0369339,Collateral (2004),2004,7.7,120089,120 mins.,Crime|Drama|Thriller
226,TT0343818,"I, Robot (2004)",2004,7.0,119811,115 mins.,Action|Mystery|Sci-Fi|Thriller
227,TT0364569,Oldboy (2003),2003,8.4,119238,120 mins.,Drama|Mystery|Thriller
228,TT0119094,Face/Off (1997),1997,7.3,119006,138 mins.,Action|Crime|Sci-Fi|Thriller
229,TT0367594,Charlie and the Chocolate Factory (2005),2005,7.0,117976,115 mins.,Adventure|Comedy|Family|Fantasy
230,TT0203009,Moulin Rouge! (2001),2001,7.6,117857,127 mins.,Drama|Musical|Romance
231,TT1156398,Zombieland (2009),2009,7.8,117535,88 mins.,Action|Adventure|Comedy|Horror
232,TT0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)",2005,6.9,115936,143 mins.,Adventure|Family|Fantasy
233,TT0332280,The Notebook (2004),2004,8.0,115207,123 mins.,Drama|Romance
234,TT0381849,3:10 to Yuma (2007),2007,7.9,113802,122 mins.,Action|Crime|Drama|Western
235,TT0348150,Superman Returns (2006),2006,6.5,112828,154 mins.,Action|Adventure|Fantasy|Sci-Fi
236,TT0443706,Zodiac (2007),2007,7.8,111954,157 mins.,Crime|Drama|History|Mystery|Thriller
237,TT0443543,The Illusionist (2006),2006,7.7,110997,110 mins.,Drama|Mystery|Romance|Thriller
238,TT0079470,Life of Brian (1979),1979,8.2,110534,94 mins.,Biography|Comedy
239,TT0887912,The Hurt Locker (2008),2008,7.8,110329,131 mins.,Drama|Thriller|War
240,TT0217869,Unbreakable (2000),2000,7.3,109548,106 mins.,Drama|Mystery|Thriller
241,TT0396269,Wedding Crashers (2005),2005,7.1,109158,119 mins.,Comedy|Romance
242,TT0830515,Quantum of Solace (2008),2008,6.8,109074,106 mins.,Action|Adventure|Thriller
243,TT0395169,Hotel Rwanda (2004),2004,8.3,109022,121 mins.,Biography|Drama|History|Thriller|War
244,TT0129387,There's Something About Mary (1998),1998,7.2,108657,119 mins.,Comedy|Romance
245,TT0449467,Babel (2006),2006,7.6,108290,143 mins.,Drama
246,TT0425210,Lucky Number Slevin (2006),2006,7.8,106780,110 mins.,Crime|Drama|Mystery|Thriller
247,TT0053125,North by Northwest (1959),1959,8.6,106359,131 mins.,Adventure|Drama|Mystery|Romance|Thriller
248,TT0109686,Dumb & Dumber (1994),1994,7.2,106075,107 mins.,Comedy|Family
249,TT0052357,Vertigo (1958),1958,8.5,105551,128 mins.,Crime|Mystery|Romance|Thriller
250,TT0120663,Eyes Wide Shut (1999),1999,7.2,105202,159 mins.,Drama|Mystery|Thriller
251,TT0092005,Stand by Me (1986),1986,8.2,104758,89 mins.,Adventure|Drama
252,TT0181875,Almost Famous (2000),2000,8.0,104403,122 mins.,Drama|Music
253,TT0081398,Raging Bull (1980),1980,8.4,104370,129 mins.,Biography|Drama|Sport
254,TT1022603,(500) Days of Summer (2009),2009,8.0,103585,95 mins.,Comedy|Drama|Romance
255,TT0238380,Equilibrium (2002),2002,7.7,102608,107 mins.,Action|Drama|Sci-Fi|Thriller
256,TT1190080,2012 (2009),2009,5.8,101822,158 mins.,Action|Adventure|Drama|Sci-Fi|Thriller
257,TT1504320,The King's Speech (2010),2010,8.3,101232,118 mins.,Biography|Drama|History
258,TT0458525,X-Men Origins: Wolverine (2009),2009,6.7,100951,107 mins.,Action|Adventure|Sci-Fi|Thriller
259,TT0486655,Stardust (2007),2007,7.9,100490,127 mins.,Adventure|Comedy|Family|Fantasy
260,TT0259711,Vanilla Sky (2001),2001,6.9,100254,136 mins.,Mystery|Romance|Sci-Fi|Thriller
261,TT0338751,The Aviator (2004),2004,7.5,99861,170 mins.,Biography|Drama
262,TT0112864,Die Hard: With a Vengeance (1995),1995,7.5,99565,131 mins.,Action|Crime|Thriller
263,TT0117060,Mission: Impossible (1996),1996,6.9,98777,110 mins.,Action|Adventure|Thriller
264,TT0185937,The Blair Witch Project (1999),1999,6.3,98440,81 mins.,Horror|Mystery
265,TT0417741,Harry PoTTer and the Half-Blood Prince (2009),2009,7.3,98091,153 mins.,Adventure|Family|Fantasy|Mystery
266,TT0139654,Training Day (2001),2001,7.6,97812,122 mins.,Crime|Drama|Thriller
267,TT0109445,Clerks. (1994),1994,7.9,97639,92 mins.,Comedy
268,TT0087332,Ghost Busters (1984),1984,7.8,97135,105 mins.,Comedy|Fantasy
269,TT0094226,The Untouchables (1987),1987,8.0,97015,119 mins.,Biography|Crime|Drama|History|Thriller
270,TT0335345,The Passion of the Christ (2004),2004,7.1,96830,127 mins.,Drama
271,TT0454921,The Pursuit of Happyness (2006),2006,7.8,96555,117 mins.,Biography|Drama
272,TT0112384,Apollo 13 (1995),1995,7.5,96337,140 mins.,Adventure|Drama|History
273,TT0257044,Road to Perdition (2002),2002,7.8,96218,117 mins.,Adventure|Crime|Drama|Thriller
274,TT0120755,Mission: Impossible II (2000),2000,5.8,95903,123 mins.,Action|Adventure|Thriller
